strategy_name,timeframe,n_datasets,n_total,n_failed,n_overfit,n_robust,pct_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
rsi_ob_os,15m,44,0,0,0,0,0.0,,,,
rsi_ob_os,1d,44,0,0,0,0,0.0,,,,
rsi_ob_os,1h,44,0,0,0,0,0.0,,,,
rsi_ob_os,30m,44,0,0,0,0,0.0,,,,
rsi_ob_os,4h,44,9,4,0,5,55.56,1.6171,1.5064,18.205,10.0
rsi_ob_os,5m,44,0,0,0,0,0.0,,,,
sma_crossover,15m,44,0,0,0,0,0.0,,,,
sma_crossover,1d,44,0,0,0,0,0.0,,,,
sma_crossover,1h,44,32,20,6,6,18.75,1.5851,1.0594,8.6305,8.0
sma_crossover,30m,44,3,3,0,0,0.0,1.2533,0.44,14.4967,18.0
sma_crossover,4h,44,7,5,0,2,28.57,1.6429,1.5571,9.2271,6.0
sma_crossover,5m,44,0,0,0,0,0.0,,,,
stochastic,15m,44,0,0,0,0,0.0,,,,
stochastic,1d,44,0,0,0,0,0.0,,,,
stochastic,1h,44,0,0,0,0,0.0,,,,
stochastic,30m,44,0,0,0,0,0.0,,,,
stochastic,4h,44,2,1,0,1,50.0,1.36,0.835,27.96,15.5
stochastic,5m,44,0,0,0,0,0.0,,,,
super_trend,15m,44,0,0,0,0,0.0,,,,
super_trend,1d,44,0,0,0,0,0.0,,,,
super_trend,1h,44,0,0,0,0,0.0,,,,
super_trend,30m,44,0,0,0,0,0.0,,,,
super_trend,4h,44,0,0,0,0,0.0,,,,
super_trend,5m,44,0,0,0,0,0.0,,,,
volume_spike,15m,44,0,0,0,0,0.0,,,,
volume_spike,1d,44,0,0,0,0,0.0,,,,
volume_spike,1h,44,0,0,0,0,0.0,,,,
volume_spike,30m,44,0,0,0,0,0.0,,,,
volume_spike,4h,44,24,12,8,4,16.67,1.5117,0.925,21.945,13.0
volume_spike,5m,44,0,0,0,0,0.0,,,,
williams_r,15m,44,0,0,0,0,0.0,,,,
williams_r,1d,44,0,0,0,0,0.0,,,,
williams_r,1h,44,1,1,0,0,0.0,1.24,0.82,30.17,64.0
williams_r,30m,44,0,0,0,0,0.0,,,,
williams_r,4h,44,6,3,3,0,0.0,1.325,0.8037,20.915,14.0
williams_r,5m,44,0,0,0,0,0.0,,,,
