symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
ADAUSDT,30m,atr_breakout,0,0,0,0,,,,
ADAUSDT,30m,bollinger_bounce,0,0,0,0,,,,
ADAUSDT,30m,price_channel,0,0,0,0,,,,
ADAUSDT,30m,volume_spike,0,0,0,0,,,,
ADAUSDT,30m,golden_cross,0,0,0,0,,,,
ADAUSDT,30m,rsi_divergence,0,0,0,0,,,,
ADAUSDT,30m,bullish_engulfing,0,0,0,0,,,,
ADAUSDT,30m,bearish_engulfing,0,0,0,0,,,,
ADAUSDT,1h,ema_crossover,0,0,0,0,,,,
ADAUSDT,1h,macd_crossover,0,0,0,0,,,,
ADAUSDT,1h,rsi_ob_os,0,0,0,0,,,,
ADAUSDT,1h,stochastic,0,0,0,0,,,,
ADAUSDT,1h,atr_breakout,1,1,0,0,1.2,0.68,12.58,16
ADAUSDT,1h,bollinger_bounce,0,0,0,0,,,,
ADAUSDT,1h,price_channel,0,0,0,0,,,,
ADAUSDT,1h,volume_spike,0,0,0,0,,,,
ADAUSDT,1h,golden_cross,0,0,0,0,,,,
ADAUSDT,1h,rsi_divergence,0,0,0,0,,,,
ADAUSDT,1h,bullish_engulfing,0,0,0,0,,,,
ADAUSDT,1h,bearish_engulfing,0,0,0,0,,,,
ADAUSDT,4h,ema_crossover,0,0,0,0,,,,
ADAUSDT,4h,macd_crossover,0,0,0,0,,,,
ADAUSDT,4h,rsi_ob_os,0,0,0,0,,,,
ADAUSDT,4h,stochastic,0,0,0,0,,,,
ADAUSDT,4h,atr_breakout,0,0,0,0,,,,
ADAUSDT,4h,bollinger_bounce,0,0,0,0,,,,
ADAUSDT,4h,price_channel,0,0,0,0,,,,
ADAUSDT,4h,bullish_engulfing,0,0,0,0,,,,
ADAUSDT,4h,volume_spike,0,0,0,0,,,,
ADAUSDT,4h,golden_cross,0,0,0,0,,,,
ADAUSDT,4h,bearish_engulfing,0,0,0,0,,,,
ADAUSDT,4h,rsi_divergence,0,0,0,0,,,,
ADAUSDT,1d,macd_crossover,0,0,0,0,,,,
ADAUSDT,1d,rsi_ob_os,0,0,0,0,,,,
ADAUSDT,1d,stochastic,0,0,0,0,,,,
ADAUSDT,1d,ema_crossover,0,0,0,0,,,,
ADAUSDT,1d,bollinger_bounce,0,0,0,0,,,,
ADAUSDT,1d,price_channel,0,0,0,0,,,,
ADAUSDT,1d,golden_cross,0,0,0,0,,,,
ADAUSDT,1d,rsi_divergence,0,0,0,0,,,,
ADAUSDT,1d,atr_breakout,0,0,0,0,,,,
ADAUSDT,1d,bullish_engulfing,0,0,0,0,,,,
ADAUSDT,1d,bearish_engulfing,0,0,0,0,,,,
ADAUSDT,1d,volume_spike,0,0,0,0,,,,
ALGOUSDT,5m,rsi_ob_os,0,0,0,0,,,,
ALGOUSDT,5m,stochastic,0,0,0,0,,,,
ALGOUSDT,5m,ema_crossover,0,0,0,0,,,,
ALGOUSDT,5m,macd_crossover,0,0,0,0,,,,
ALGOUSDT,5m,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,5m,price_channel,0,0,0,0,,,,
ALGOUSDT,5m,atr_breakout,0,0,0,0,,,,
ALGOUSDT,5m,golden_cross,0,0,0,0,,,,
ALGOUSDT,5m,volume_spike,0,0,0,0,,,,
ALGOUSDT,5m,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,5m,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,15m,ema_crossover,0,0,0,0,,,,
ALGOUSDT,5m,bearish_engulfing,0,0,0,0,,,,
ALGOUSDT,15m,rsi_ob_os,0,0,0,0,,,,
ALGOUSDT,15m,macd_crossover,0,0,0,0,,,,
ALGOUSDT,15m,stochastic,0,0,0,0,,,,
ALGOUSDT,15m,atr_breakout,0,0,0,0,,,,
ALGOUSDT,15m,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,15m,price_channel,0,0,0,0,,,,
ALGOUSDT,15m,volume_spike,0,0,0,0,,,,
ALGOUSDT,15m,golden_cross,0,0,0,0,,,,
ALGOUSDT,15m,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,15m,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,15m,bearish_engulfing,0,0,0,0,,,,
ALGOUSDT,30m,ema_crossover,0,0,0,0,,,,
ALGOUSDT,30m,macd_crossover,0,0,0,0,,,,
ALGOUSDT,30m,rsi_ob_os,0,0,0,0,,,,
ALGOUSDT,30m,stochastic,0,0,0,0,,,,
ALGOUSDT,30m,atr_breakout,0,0,0,0,,,,
ALGOUSDT,30m,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,30m,price_channel,0,0,0,0,,,,
ALGOUSDT,30m,volume_spike,0,0,0,0,,,,
ALGOUSDT,30m,golden_cross,0,0,0,0,,,,
ALGOUSDT,30m,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,30m,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,30m,bearish_engulfing,0,0,0,0,,,,
ALGOUSDT,1h,ema_crossover,0,0,0,0,,,,
ALGOUSDT,1h,macd_crossover,0,0,0,0,,,,
ALGOUSDT,1h,rsi_ob_os,0,0,0,0,,,,
ALGOUSDT,1h,stochastic,0,0,0,0,,,,
ALGOUSDT,1h,atr_breakout,0,0,0,0,,,,
ALGOUSDT,1h,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,1h,price_channel,0,0,0,0,,,,
ALGOUSDT,1h,volume_spike,0,0,0,0,,,,
ALGOUSDT,1h,golden_cross,0,0,0,0,,,,
ALGOUSDT,1h,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,1h,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,1h,bearish_engulfing,0,0,0,0,,,,
ALGOUSDT,4h,ema_crossover,0,0,0,0,,,,
ALGOUSDT,4h,macd_crossover,0,0,0,0,,,,
ALGOUSDT,4h,stochastic,0,0,0,0,,,,
ALGOUSDT,4h,atr_breakout,0,0,0,0,,,,
ALGOUSDT,4h,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,4h,rsi_ob_os,1,0,0,1,1.21,2.08,15.05,11
ALGOUSDT,4h,price_channel,0,0,0,0,,,,
ALGOUSDT,4h,volume_spike,0,0,0,0,,,,
ALGOUSDT,4h,golden_cross,0,0,0,0,,,,
ALGOUSDT,4h,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,1d,ema_crossover,0,0,0,0,,,,
ALGOUSDT,4h,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,4h,bearish_engulfing,2,2,0,0,1.685,0.43,24.245,6.0
ALGOUSDT,1d,rsi_ob_os,0,0,0,0,,,,
ALGOUSDT,1d,stochastic,0,0,0,0,,,,
ALGOUSDT,1d,atr_breakout,0,0,0,0,,,,
ALGOUSDT,1d,bollinger_bounce,0,0,0,0,,,,
ALGOUSDT,1d,price_channel,0,0,0,0,,,,
ALGOUSDT,1d,volume_spike,0,0,0,0,,,,
ALGOUSDT,1d,macd_crossover,0,0,0,0,,,,
ALGOUSDT,1d,golden_cross,0,0,0,0,,,,
ALGOUSDT,1d,rsi_divergence,0,0,0,0,,,,
ALGOUSDT,1d,bullish_engulfing,0,0,0,0,,,,
ALGOUSDT,1d,bearish_engulfing,0,0,0,0,,,,
APTUSDT,5m,rsi_ob_os,0,0,0,0,,,,
APTUSDT,5m,stochastic,0,0,0,0,,,,
APTUSDT,5m,macd_crossover,0,0,0,0,,,,
APTUSDT,5m,ema_crossover,0,0,0,0,,,,
